xy,z,val
36.1605 -27.7042,1.69936,5.05286e-05
36.1605 -27.7042,1.66942,0.000143057
36.1605 -27.7042,1.63948,5.63507e-05
36.1605 -27.7042,1.60954,0.000147455
36.1605 -27.7042,1.57961,0.00118327
36.1605 -27.7042,1.54967,0.000107078
36.1605 -27.7042,1.51973,0.00326623
36.1605 -27.7042,1.48979,0.00101211
36.1605 -27.7042,1.45985,-4.74494e-06
36.1605 -27.7042,1.42992,0.00203776
36.1605 -27.7042,1.39998,0.00881895
36.1605 -27.7042,1.37004,0.000993664
36.1605 -27.7042,1.3401,0.00169719
36.1605 -27.7042,1.31016,0.000249272
36.1605 -27.7042,1.28022,0.00356895
36.1605 -27.7042,1.25029,0.0117078
36.1605 -27.7042,1.22035,0.123671
36.1605 -27.7042,1.19041,0.374048
36.1605 -27.7042,1.16047,0.491464
36.1605 -27.7042,1.13053,0.299395
36.1605 -27.7042,1.1006,0.122475
36.1605 -27.7042,1.07066,0.0852232
36.1605 -27.7042,1.04072,0.0361843
36.1605 -27.7042,1.01078,0.0180483
36.1605 -27.7042,0.980843,0.0115524
36.1605 -27.7042,0.950905,0.00626957
36.1605 -27.7042,0.920967,0.00746931
36.1605 -27.7042,0.891029,0.00579289
36.1605 -27.7042,0.861091,0.00335553
36.1605 -27.7042,0.831152,0.0030294
36.1605 -27.7042,0.801214,0.0025859
36.1605 -27.7042,0.771276,0.0020701
36.1605 -27.7042,0.741338,0.00148032
36.1605 -27.7042,0.7114,0.00125718
36.1605 -27.7042,0.681462,0.00106656
36.1605 -27.7042,0.651523,0.000976263
36.1605 -27.7042,0.621585,0.000930279
36.1605 -27.7042,0.591647,0.00071192
36.1605 -27.7042,0.561709,0.000814204
36.1605 -27.7042,0.531771,0.000619125
36.1605 -27.7042,0.501833,0.000632523
36.1605 -27.7042,0.471894,0.000484784
36.1605 -27.7042,0.441956,0.00064861
36.1605 -27.7042,0.412018,0.000471143
36.1605 -27.7042,0.38208,0.000337314
36.1605 -27.7042,0.352142,0.000605155
36.1605 -27.7042,0.322204,0.000473298
36.1605 -27.7042,0.292266,0.000365412
36.1605 -27.7042,0.262327,0.000203138
36.1605 -27.7042,0.232389,0.000212266
36.1605 -27.7042,0.202451,0.000322852
36.1605 -27.7042,0.172513,0.000206456
36.1605 -27.7042,0.142575,0.000137097
36.1605 -27.7042,0.112637,0.000187999
36.1605 -27.7042,0.0826984,8.95454e-05
36.1605 -27.7042,0.0527602,0.000171054
36.1605 -27.7042,0.0228221,0.000139987
36.1605 -27.7042,-0.0071161,0.000142081
36.1605 -27.7042,-0.0370543,0.000165613
36.1605 -27.7042,-0.0669924,0.000113983
36.1605 -27.7042,-0.0969306,-4.12685e-07
36.1605 -27.7042,-0.126869,3.0075e-05
36.1605 -27.7042,-0.156807,0.000118916
36.1605 -27.7042,-0.186745,3.95352e-05
36.1605 -27.7042,-0.216683,2.61758e-05
36.1605 -27.7042,-0.246621,0.000187418
36.1605 -27.7042,-0.27656,3.95177e-05
36.1605 -27.7042,-0.306498,0.000188933
36.1605 -27.7042,-0.336436,0.000146033
36.1605 -27.7042,-0.366374,4.80254e-06
36.1605 -27.7042,-0.396312,7.03669e-06
36.1605 -27.7042,-0.42625,0.000130149
36.1605 -27.7042,-0.456188,7.72216e-05
36.1605 -27.7042,-0.620848,3.3343e-05
36.1605 -27.7042,-0.92023,2.98563e-05
36.1605 -27.7042,-1.21961,2.14671e-05
36.1605 -27.7042,-1.51899,2.01414e-05
36.1605 -27.7042,-1.81837,2.4784e-05
36.0848 -28.0043,39.4963,1.54142e-05
36.0848 -28.0043,39.1969,-2.04198e-07
36.0848 -28.0043,38.8975,-2.15633e-06
36.0848 -28.0043,38.5981,-4.27445e-06
36.0848 -28.0043,38.2988,4.26684e-05
36.0848 -28.0043,37.9994,5.53549e-06
36.0848 -28.0043,37.7,2.24442e-06
36.0848 -28.0043,37.4006,-6.57381e-07
36.0848 -28.0043,37.1012,1.32227e-05
36.0848 -28.0043,36.8019,1.21721e-06
36.0848 -28.0043,36.5025,3.14048e-05
36.0848 -28.0043,36.2031,3.29223e-05
36.0848 -28.0043,35.9037,2.24866e-05
36.0848 -28.0043,35.6043,2.37177e-06
36.0848 -28.0043,35.3049,2.49411e-06
36.0848 -28.0043,35.0056,1.4103e-05
36.0848 -28.0043,34.7062,5.4445e-07
36.0848 -28.0043,34.4068,1.21856e-06
36.0848 -28.0043,34.1074,5.41318e-06
36.0848 -28.0043,33.808,-3.94779e-07
36.0848 -28.0043,33.5087,2.2614e-05
36.0848 -28.0043,33.2093,9.87048e-07
36.0848 -28.0043,32.9099,3.74949e-05
36.0848 -28.0043,32.6105,1.5371e-05
36.0848 -28.0043,32.3111,1.93631e-06
