xy,z,val
-40.9272 -81.657,2.62744,0.000245641
-40.9272 -81.657,2.5975,2.47685e-05
-40.9272 -81.657,2.56757,5.82435e-05
-40.9272 -81.657,2.53763,8.43122e-05
-40.9272 -81.657,2.50769,3.59944e-05
-40.9272 -81.657,2.47775,3.75665e-05
-40.9272 -81.657,2.44781,8.18059e-05
-40.9272 -81.657,2.41787,2.40125e-05
-40.9272 -81.657,2.38794,0.000367654
-40.9272 -81.657,2.358,0.0390176
-40.9272 -81.657,2.32806,0.149125
-40.9272 -81.657,2.29812,0.149251
-40.9272 -81.657,2.26818,0.07517
-40.9272 -81.657,2.23825,0.050232
-40.9272 -81.657,2.20831,0.0152445
-40.9272 -81.657,2.17837,0.0233685
-40.9272 -81.657,2.14843,0.00989589
-40.9272 -81.657,2.11849,0.00899656
-40.9272 -81.657,2.08856,0.00730543
-40.9272 -81.657,2.05862,0.0036106
-40.9272 -81.657,2.02868,0.00371453
-40.9272 -81.657,1.99874,0.00186983
-40.9272 -81.657,1.9688,0.000783611
-40.9272 -81.657,1.93886,0.000742266
-40.9272 -81.657,1.90893,0.000664182
-40.9272 -81.657,1.87899,0.000557786
-40.9272 -81.657,1.84905,0.001017
-40.9272 -81.657,1.81911,0.000685332
-40.9272 -81.657,1.78917,0.000975176
-40.9272 -81.657,1.75924,0.00254843
-40.9272 -81.657,1.7293,0.000272171
-40.9272 -81.657,1.69936,0.000321362
-40.9272 -81.657,1.66942,0.000307502
-40.9272 -81.657,1.63948,0.000197785
-40.9272 -81.657,1.60954,0.000199486
-40.9272 -81.657,1.57961,0.000259096
-40.9272 -81.657,1.54967,0.000149953
-40.9272 -81.657,1.51973,0.000175776
-40.9272 -81.657,1.48979,0.000183376
-40.9272 -81.657,1.45985,7.48894e-05
-40.9272 -81.657,1.42992,5.21498e-05
-40.9272 -81.657,1.39998,0.000149833
-40.9272 -81.657,1.37004,6.05849e-05
-40.9272 -81.657,1.3401,0.000105944
-40.9272 -81.657,1.31016,6.21143e-05
-40.9272 -81.657,1.28022,4.09808e-05
-40.9272 -81.657,1.25029,0.000103084
-40.9272 -81.657,1.22035,7.50556e-05
-40.9272 -81.657,1.19041,0.000140658
-40.9272 -81.657,1.16047,5.94297e-05
-40.9272 -81.657,1.13053,5.58517e-05
-40.9272 -81.657,1.1006,5.78949e-05
-40.9272 -81.657,1.07066,7.19066e-05
-40.9272 -81.657,1.04072,3.26134e-05
-40.9272 -81.657,1.01078,3.51432e-05
-40.9272 -81.657,0.980843,-1.45644e-05
-40.9272 -81.657,0.950905,6.58859e-05
-40.9272 -81.657,0.920967,-2.20183e-05
