time,z
25097283.5272,708.945
25097283.6104,723.109
25097283.7162,759.289
25097283.8986,803.013
25097284.0152,738.359
25097284.0954,718.483
25097284.1557,710.485
25097284.1949,702.327
25097284.2303,692.812
25097284.2737,685.617
25097284.319,685.962
25097284.371,681.335
25097284.4365,678.281
25097284.5041,672.464
25097284.533,671.48
25097284.5624,671.784
25097284.6157,666.353
25097284.6607,664.666
25097284.7183,664.782
25097284.7834,660.305
25097284.8427,656.767
25097284.8836,657.291
25097284.9379,655.432
25097284.9904,653.196
25097285.0524,650.718
25097285.0972,649.442
25097285.1448,647.486
25097285.1988,646.42
25097285.2498,643.62
25097285.3021,641.256
25097285.3557,640.172
25097285.3863,640.54
25097285.4325,632.913
25097285.4863,643.681
25097285.544,643.978
25097285.5996,644.584
25097285.6526,644.758
25097285.7084,645.916
25097285.7684,644.862
25097285.8318,644.073
25097285.897,644.574
25097285.9572,644.955
25097286.0125,645.874
25097286.0785,644.413
25097286.1517,644.248
25097286.2436,647.01
25097286.3075,661.241
25097286.3609,650.241
25097286.4007,649.461
25097286.4398,649.036
25097286.4802,650.632
25097286.5191,650.364
25097286.5718,652.933
25097286.6363,653.8
25097286.6988,650.562
25097286.7606,646.716
25097286.7878,646.012
25097286.8022,646.349
25097286.8118,646.34
25097286.8247,646.145
25097286.8426,646.863
25097286.8677,645.749
25097286.9421,646.809
25097293.4665,713.841
25097304.1479,1233.93
25097305.0887,1183.53
25097305.4294,1267.69
25097305.9373,1179.49
25097306.1457,1292.21
25097306.6555,1469.41
25097306.8052,1560.97
25097306.844,1563.05
25097306.8692,1557.1
25097306.9138,1576.98
25097306.9427,1575.66
25097306.9689,1584.3
25097307.006,3989.54
25097307.0471,1574.17
25097307.0702,1575.22
25097307.0988,1582.46
25097307.1428,1607.06
25097307.2026,1622.47
25097307.2541,1619.11
25097307.345,4058.46
25097308.4532,1275.33
25097308.8454,4092.62
25097308.904,4165.29
25097308.9583,4345.81
25097309.0082,4336.13
25097309.0575,4222.26
25097309.1186,4277.67
25097309.1789,4189.04
25097309.2928,4017.62
25097309.3724,4036.05
25097309.443,4113.14
25097309.5064,1660.58
25097309.5302,1693.43
25097309.5706,1662.19
25097310.0927,1515.41
25097310.1574,1555.02
25097310.2274,1635.17
25097310.2756,1687.43
25097310.32,1705.69
25097310.3595,1727.54
25097310.389,1760.36
25097310.4102,1802.5
25097310.4308,1862.22
25097310.4766,1746.34
25097310.5002,1746.62
25097310.5232,1811.25
25097310.5423,1867.64
25097310.5609,1909.07
25097310.5847,1871.46
25097310.6054,1826.47
25097310.6243,1801.61
25097310.6451,1856.92
25097310.6657,1938.47
25097310.6908,1929.69
25097310.7252,1829.17
25097310.7644,1745.89
25097310.7869,1790.74
25097310.8074,1866.17
25097310.8328,1942.2
25097310.8821,1797.63
25097310.9379,1702.66
25097310.9844,1660.56
25097311.0143,1643.46
25097311.0512,1633.58
25097311.0733,1644.99
25097311.0998,1653.19
25097311.1347,1667.33
25097311.161,1677.94
25097311.19,1702.15
25097311.2151,1799.45
25097311.2518,1845.94
25097311.2985,1866.17
25097311.3136,1906.5
25097311.3272,1936.62
25097311.3396,2000.86
25097311.3585,2082.51
25097311.3742,2065.89
25097311.3939,2080.99
25097311.4148,2067.01
25097311.453,1937.26
25097311.4839,1908.2
25097311.536,1756.61
25097311.5617,1785.87
25097311.5953,1837.45
25097311.623,2159.32
25097311.6699,1792.16
25097311.7207,1592.95
25097311.7292,1593.08
25097311.7655,1607.44
25097311.79,1651.16
25097311.8241,1704.56
25097311.8597,1803.73
25097311.8801,1850.74
25097311.9127,1840.45
25097311.938,1841.13
25097311.9601,1877.09
25097311.9811,1988.1
25097311.9986,1993.35
25097312.0231,2039.52
25097312.0474,2039.41
25097312.0696,1991.11
25097312.1074,1946.93
25097312.1743,4302.49
25097312.2295,4361.36
25097312.2804,4347.36
25097312.3338,4287.99
25097312.3863,4273.7
25097312.4371,4251.11
25097312.498,4232.93
25097312.5618,4138.18
25097312.6196,4227.98
25097312.6765,4278.58
25097312.7283,4366.05
25097312.7752,4336.74
25097312.8422,4408.25
25097313.0308,4412.58
25097313.2203,4325.84
25097313.2729,4322.99
25097313.3245,4328.88
25097313.3789,4356.1
25097313.4303,4350.57
25097313.4836,4278.01
25097313.5389,4370.6
25097313.5937,4322.19
25097313.6532,4291.7
25097313.7242,2405.15
25097313.7612,2577.5
25097313.8046,2613.22
25097313.8426,2512.98
25097313.8852,2519.4
25097313.9227,2448.07
25097313.9437,2362.19
25097313.9618,2307.04
25097313.9738,2306.44
25097313.9853,2329.94
25097313.9968,2338.97
25097314.0075,2356.88
25097314.0188,2355.86
25097314.031,2333.37
25097314.045,2302.59
25097314.058,2275.73
25097314.0735,2292.71
25097314.0884,2322.84
25097314.0995,2343.6
25097314.1162,2438.48
25097314.1291,2489.94
25097314.1408,2463.12
25097314.1517,2437.24
25097314.1641,2431.64
25097314.1775,2419.62
25097314.1894,2409.56
25097314.2022,2346.3
25097314.2165,2400.74
25097314.2286,2396.36
25097314.2405,2388.2
25097314.252,2377.5
25097314.2631,2363.38
25097314.2744,2341.45
25097314.287,2325.92
25097314.3034,2275.73
25097314.3208,2268.25
25097314.3346,2263.25
25097314.3535,2241.96
25097314.4113,2016.6
25097314.457,1928.88
25097314.5107,1881.63
25097314.582,1839.8
25097314.6613,1840.8
25097314.6952,1899.77
25097314.7279,1956.8
25097314.7581,2027.27
25097314.7836,2061.34
25097314.7997,2102.74
25097314.8211,2158.12
25097314.8454,2604.08
25097314.8651,2281.67
25097314.8811,2365.8
25097314.8954,2375.55
25097314.9133,2329.57
25097314.9306,2305.94
25097314.9498,2298.02
25097314.9732,2509.46
25097315.016,2131.03
25097315.0363,2138.83
25097315.0522,2151.61
25097315.0836,2117.05
25097315.1054,2114.26
25097315.1299,2122.64
25097315.1509,2142.59
25097315.1963,2059.57
25097315.2232,2081.97
25097315.2628,2060.24
25097315.2924,2078.91
25097315.3146,2120.28
25097315.3342,2140.16
25097315.3526,2155.98
25097315.3674,2184.22
25097315.3829,2202.68
25097315.3981,2213.99
25097315.4173,2269.0
25097315.4328,2315.43
25097315.4486,2384.32
25097315.4698,2503.64
25097315.4903,2502.43
25097315.5173,2401.49
25097315.5519,2236.02
25097315.6055,2081.95
25097315.6483,2057.42
25097315.7024,2030.35
25097315.726,2050.67
25097315.7673,1992.2
25097315.8208,1914.21
25097315.862,1910.88
25097315.9002,1958.85
25097315.9401,2050.35
25097315.9654,2078.64
25097315.9852,2157.73
25097316.0138,2147.75
25097316.0307,2214.69
25097316.0528,2298.28
25097316.0728,2365.41
25097316.0979,2446.9
25097316.1237,2399.32
25097316.1696,2233.13
25097316.1918,2212.04
25097316.2099,2227.1
25097316.228,2265.55
25097316.2454,2309.71
25097316.2675,2381.4
25097316.3021,2314.34
25097316.3227,2245.56
25097316.3401,2214.77
25097316.3564,2186.5
25097316.373,2159.35
25097316.3874,2166.92
25097316.4019,2180.15
25097316.415,2208.8
25097316.4291,2243.22
25097316.4462,2336.57
25097316.4645,2381.98
25097316.4865,2519.09
25097316.518,2417.05
25097316.588,1858.41
25097316.7235,4394.28
25097316.8631,4378.26
25097317.301,1640.26
25097317.504,1556.2
25097317.7067,1523.19
25097317.9294,1776.36
25097318.0655,1861.97
25097318.2036,2373.97
25097318.2687,2039.99
25097318.3408,1958.39
25097318.4267,2074.3
25097318.4938,2209.07
25097318.5544,2238.65
25097318.602,2322.94
25097318.6513,2547.48
25097318.7091,2322.54
25097318.7525,2246.24
25097318.7943,2192.59
25097318.8391,2276.42
25097318.8792,2367.32
25097318.9183,2302.11
25097318.9633,2150.14
25097318.9966,2130.85
25097319.0246,2167.15
25097319.0524,2198.16
25097319.0934,2461.4
25097319.141,2366.62
25097319.179,2503.45
25097319.2197,2457.36
25097319.2566,2521.82
25097319.3304,2286.55
25097319.3922,2199.55
25097319.4639,2106.43
25097319.6232,2437.77
25097320.06,2056.91
25097320.1953,2269.64
25097320.5394,2012.78
25097324.1129,299.555
25097325.4905,1882.42
25097326.2562,2410.76
25097326.9247,2060.16
25097327.2479,2020.89
25097328.9364,1304.36
25097329.976,458.304
25097331.9812,1778.74
25097333.0042,1973.02
25097333.1458,1969.5
25097333.2657,2339.18
25097333.408,2254.8
25097333.4988,2098.67
25097333.6494,1756.52
25097333.7652,1548.82
25097333.8504,1385.3
25097333.9286,1590.71
25097333.9634,1755.57
25097333.9856,1862.92
25097334.0051,1956.89
25097334.0245,2042.81
25097334.047,2179.4
25097334.0683,2308.51
25097334.0892,2438.01
25097334.1062,2547.47
25097334.1188,2546.39
25097334.1319,2480.58
25097334.1458,2399.83
